iter	Passed	Remaining
0	0	79
1	1	92
2	2	68
3	2	55
4	2	49
5	2	44
6	3	40
7	3	38
8	3	36
9	3	34
10	4	33
11	4	31
12	4	30
13	4	29
14	5	28
15	5	27
16	5	26
17	5	25
18	5	25
19	6	24
20	6	23
21	6	23
22	6	22
23	6	22
24	7	21
25	7	21
26	7	20
27	7	20
28	8	19
29	8	19
30	8	19
31	8	18
32	9	18
33	9	17
34	9	17
35	9	17
36	9	16
37	10	16
38	10	16
39	10	15
40	10	15
41	10	14
42	11	14
43	11	14
44	11	14
45	11	13
46	11	13
47	12	13
48	12	12
49	12	12
50	12	12
51	13	12
52	13	11
53	13	11
54	13	11
55	13	10
56	14	10
57	14	10
58	14	10
59	14	9
60	15	9
61	15	9
62	15	9
63	15	8
64	16	8
65	16	8
66	16	8
67	16	7
68	17	7
69	17	7
70	17	7
71	17	6
72	18	6
73	18	6
74	18	6
75	18	5
76	19	5
77	19	5
78	19	5
79	19	4
80	20	4
81	20	4
82	20	4
83	20	3
84	21	3
85	21	3
86	21	3
87	21	2
88	21	2
89	22	2
90	22	2
91	22	1
92	22	1
93	23	1
94	23	1
95	23	0
96	23	0
97	24	0
98	24	0
99	24	0
